"DateCode","MasterName","OriginalMatch","Status"
"240602_D_","240602_D_60p_709_nclc_천호대로","240602_D_천호대로_60p_422lt","Synced"
"251104_D1","251104_D16_24p_V-log_nclc_삼성로 남향","Missing in Original","Master_Only_Alert"
"251021_N0","251021_N06_24p_V-log_nclc_영동대교 상행","Missing in Original","Master_Only_Alert"
"240528_D_","240528_D_60p_709_nclc_세종대로 주행 신호대기","Missing in Original","Master_Only_Alert"
"251126_D0","251126_D09_24p_V-log_nclc_범지기로","Missing in Original","Master_Only_Alert"
"251021_N0","251021_N01_24p_V-log_nclc_청담-영동대교남단","Missing in Original","Master_Only_Alert"
"250220_D2","250220_D2_24p_D-log_nclc_동작대교 하행","Missing in Original","Master_Only_Alert"
"251126_D1","251126_D18_24p_V-log_nclc_세화나래휴게소","Missing in Original","Master_Only_Alert"
"251021_N1","251021_N16_24p_V-log_nclc_서울세관-역삼역","Missing in Original","Master_Only_Alert"
"240324_D2","240324_D2_60p_709_nclc_도곡로","Missing in Original","Master_Only_Alert"
"250420_D2","250420_D2_24p_709_nclc_양재천로","Missing in Original","Master_Only_Alert"
"251126_MH","251126_MH05_24p_V-log_nclc_공룡로","Missing in Original","Master_Only_Alert"
"250929_D1","250929_D1_60p_D-log_nclc_인천 연수구 8차선 고가도로","Missing in Original","Master_Only_Alert"
"251126_D1","251126_D13_24p_V-log_nclc_인천대교","Missing in Original","Master_Only_Alert"
"251104_N3","251104_N39_24p_V-log_nclc_마곡중앙로 남향","Missing in Original","Master_Only_Alert"
"251104_D0","251104_D09_24p_V-log_nclc_학동 가구거리 동향","Missing in Original","Master_Only_Alert"
"251020_N2","251020_N24_24p_V-log_nclc_합정역-마포구청역","Missing in Original","Master_Only_Alert"
"250220_D5","250220_D5_24p_D-log_nclc_올림픽대로","Missing in Original","Master_Only_Alert"
"240609_MH","240609_MH_60p_709_nclc_경수대로","Missing in Original","Master_Only_Alert"
"250821_D2","250821_D2_60p_D-log_nclc_울진 후포리 산길","Missing in Original","Master_Only_Alert"
"251126_N1","251126_N11_24p_V-log_nclc_인천대교","Missing in Original","Master_Only_Alert"
"250612_D_","250612_D_24p_D-log_nclc_강변북로","Missing in Original","Master_Only_Alert"
"240913_N_","240913_N_60p_709_nclc_남부순환로 주행 신호대기 주행","Missing in Original","Master_Only_Alert"
"250929_D2","250929_D2_60p_D-log_nclc_인천 남북로 시골길","Missing in Original","Master_Only_Alert"
"251104_D1","251104_D18_24p_V-log_nclc_삼성로 북향","Missing in Original","Master_Only_Alert"
"251107_N1","251107_N1_60p_D-log_nclc_판교","Missing in Original","Master_Only_Alert"
"251104_D0","251104_D05_24p_V-log_nclc_학동 주택가","Missing in Original","Master_Only_Alert"
"251107_N2","251107_N2_60p_D-log_nclc_판교","Missing in Original","Master_Only_Alert"
"251021_N0","251021_N02_24p_V-log_nclc_영동대교남단-청담","Missing in Original","Master_Only_Alert"
"220728_D_","220728_D_60p_709_nclc_화성시 우정읍 조암리 산64","Missing in Original","Master_Only_Alert"
"250220_D1","250220_D1_24p_D-log_nclc_동작대교 상행","Missing in Original","Master_Only_Alert"
"251126_D1","251126_D16_24p_V-log_nclc_세화나래휴게소","Missing in Original","Master_Only_Alert"
"251021_M2","251021_M24_24p_V-log_nclc_영동대교 하행 새벽","Missing in Original","Master_Only_Alert"
"250612_N1","250612_N1_60p_D-log_nclc_경부고속도로","Missing in Original","Master_Only_Alert"
"251020_N1","251020_N10_24p_V-log_nclc_마포구청역-합정역","Missing in Original","Master_Only_Alert"
"250220_D9","250220_D9_24p_D-log_nclc_동호대교 금호터널 약수역 하행","Missing in Original","Master_Only_Alert"
"250220_D6","250220_D6_24p_D-log_nclc_동호대교 금호터널 약수역","Missing in Original","Master_Only_Alert"
"251104_N3","251104_N31_24p_V-log_nclc_송도 바이오대로","Missing in Original","Master_Only_Alert"
"221114_D_","221114_D_60p_709_nclc_올림픽대교","Missing in Original","Master_Only_Alert"
"251021_N1","251021_N15_24p_V-log_nclc_역삼역-서울세관","Missing in Original","Master_Only_Alert"
"251126_MH","251126_MH01_24p_V-log_nclc_공룡로","Missing in Original","Master_Only_Alert"
"251104_MH","251104_MH30_24p_V-log_nclc_송도 바이오대로","Missing in Original","Master_Only_Alert"
"250929_D3","250929_D3_60p_D-log_nclc_인천 공항서로","Missing in Original","Master_Only_Alert"
"251126_D0","251126_D06_24p_V-log_nclc_범지기로","Missing in Original","Master_Only_Alert"
"251020_N0","251020_N01_24p_V-log_nclc_합정역 코너 양화대교 진입","Missing in Original","Master_Only_Alert"
"251126_D1","251126_D12_24p_V-log_nclc_봉화로","Missing in Original","Master_Only_Alert"
"251104_D2","251104_D21_24p_V-log_nclc_영동대교 남향","Missing in Original","Master_Only_Alert"
"251107_N3","251107_N3_60p_D-log_nclc_월드컵대교","Missing in Original","Master_Only_Alert"
"251021_M2","251021_M25_24p_V-log_nclc_영동대교 상행 아침","Missing in Original","Master_Only_Alert"
"250821_D4","250821_D4_60p_D-log_nclc_정동진 해안도로","Missing in Original","Master_Only_Alert"
"251106_N1","251106_N1_60p_D-log_nclc_청담","Missing in Original","Master_Only_Alert"
"251111_D3","251111_D3_60p_D-log_nclc_여의도","Missing in Original","Master_Only_Alert"
"251020_N0","251020_N04_24p_V-log_nclc_양화대교 상행","Missing in Original","Master_Only_Alert"
"250821_D5","250821_D5_60p_D-log_nclc_정동진 해안도로","Missing in Original","Master_Only_Alert"
"251126_D0","251126_D04_24p_V-log_nclc_범지기로","Missing in Original","Master_Only_Alert"
"251126_D1","251126_D10_24p_V-log_nclc_봉화로","Missing in Original","Master_Only_Alert"
"231126_N1","231126_N1_60p_709_nclc_일주서로","Missing in Original","Master_Only_Alert"
"251126_MH","251126_MH07_24p_V-log_nclc_공룡로","Missing in Original","Master_Only_Alert"
"251021_N0","251021_N09_24p_V-log_nclc_영동대교 하행","Missing in Original","Master_Only_Alert"
"251104_D1","251104_D10_24p_V-log_nclc_학동 가구거리 서향","Missing in Original","Master_Only_Alert"
"251104_D2","251104_D22_24p_V-log_nclc_영동대교 북향","Missing in Original","Master_Only_Alert"
"221225_N_","221225_N_60p_709_nclc_강남역 도산대로","Missing in Original","Master_Only_Alert"
"250612_N2","250612_N2_24p_D-log_nclc_명동 광화문 경복궁","Missing in Original","Master_Only_Alert"
"251126_D1","251126_D15_24p_V-log_nclc_인천대교","Missing in Original","Master_Only_Alert"
"251126_D0","251126_D08_24p_V-log_nclc_범지기로","Missing in Original","Master_Only_Alert"
"251021_M2","251021_M26_24p_V-log_nclc_영동대교 하행 아침","Missing in Original","Master_Only_Alert"
"250704_N2","250704_N2_60p_709_nclc_경복궁","Missing in Original","Master_Only_Alert"
"251126_D0","251126_D07_24p_V-log_nclc_범지기로","Missing in Original","Master_Only_Alert"
"250821_D3","250821_D3_60p_D-log_nclc_울진 후포리 산길","Missing in Original","Master_Only_Alert"
"220828_D_","220828_D_60p_709_nclc_삼성역사거리 신호대기 좌회전","Missing in Original","Master_Only_Alert"
"251111_D1","251111_D1_60p_D-log_nclc_여의도-원효대교","Missing in Original","Master_Only_Alert"
"251104_D2","251104_D27_24p_V-log_nclc_송도 바이오대로","Missing in Original","Master_Only_Alert"
"251104_N4","251104_N44_24p_V-log_nclc_마곡중앙로 북향","Missing in Original","Master_Only_Alert"
"220526_D_","220526_D_60p_709_nclc_영종대교","Missing in Original","Master_Only_Alert"
"230708_N4","230708_N4_60p_709_nclc_남부순환로","Missing in Original","Master_Only_Alert"
"220926_MH","220926_MH_60p_709_nclc_동부간선도로 수서","Missing in Original","Master_Only_Alert"
"250220_D8","250220_D8_24p_D-log_nclc_동호대교 금호터널 약수역 상행","Missing in Original","Master_Only_Alert"
"251020_N0","251020_N03_24p_V-log_nclc_양화대교 하행","Missing in Original","Master_Only_Alert"
"251111_D2","251111_D2_60p_D-log_nclc_여의도","Missing in Original","Master_Only_Alert"
"251021_M2","251021_M23_24p_V-log_nclc_영동대교 상행 새벽","Missing in Original","Master_Only_Alert"
"220728_화성","Pending_Ingest","220728_화성시 우정읍 조암리 산64(san64)_D_422lt","Source_Only"
"220926_동부","Pending_Ingest","220926_동부간선도로_수서_MH_422lt","Source_Only"
"221225_강남","Pending_Ingest","221225_강남역_도산대로_N_422lt","Source_Only"
"230708_남부","Pending_Ingest","230708_남부순환로_N4_422lt","Source_Only"
"231126_일주","Pending_Ingest","231126_일주서로_N1_422lt","Source_Only"
"240324_도곡","Pending_Ingest","240324_도곡로_D2_422lt","Source_Only"
"240528_세종","Pending_Ingest","240528_세종대로_주행_신호대기(Sejong-Dearo)_D_422lt","Source_Only"
"240609_경수","Pending_Ingest","240609_경수대로_MH_422lt","Source_Only"
"240913_남부","Pending_Ingest","240913_남부순환로_주행_신호대기_주행_N_422lt","Source_Only"
"250220_동작","Pending_Ingest","250220_동작대교_D1_60p_nclc_422lt","Source_Only"
"250220_동작","Pending_Ingest","250220_동작대교_D2_60p_422lt","Source_Only"
"250220_동호","Pending_Ingest","250220_동호대교_금호터널_약수역_D1_60p_422lt","Source_Only"
"250220_동호","Pending_Ingest","250220_동호대교_금호터널_약수역_D2_60p_422lt","Source_Only"
"250220_동호","Pending_Ingest","250220_동호대교_금호터널_약수역_D3_60p_422lt","Source_Only"
"250220_동호","Pending_Ingest","250220_동호대교_금호터널_약수역_D4_60p_422lt","Source_Only"
"250220_올림","Pending_Ingest","250220_올림픽대로_D_60p_422lt","Source_Only"
"250416_ac","Pending_Ingest","250416_actioncam_test","Source_Only"
"250420_양재","Pending_Ingest","250420_양재천로_24p_D2_prorest422lt","Source_Only"
"250612_DS","Pending_Ingest","250612_DS15","Source_Only"
"250612_뜨거","Pending_Ingest","250612_뜨거운안녕_ds15_ori","Source_Only"
"250722_DS","Pending_Ingest","250722_DS15_S1H 관련 테스트","Source_Only"
"250804_DS","Pending_Ingest","250804_DS15_R5C 관련 테스트","Source_Only"
"250821_취사","Pending_Ingest","250821_취사병_ds13_ori","Source_Only"
"250821_취사","Pending_Ingest","250821_취사병_미작업_촬영소스","Source_Only"
"250929_연수","Pending_Ingest","250929_연수구 국도_D1_60p_422lt","Source_Only"
"250929_영종","Pending_Ingest","250929_영종도 국도_D2_60p_422lt","Source_Only"
"250929_영종","Pending_Ingest","250929_영종도 국도_D3_60p_422lt","Source_Only"
"251020_버라","Pending_Ingest","251020_버라이어티 1차_ori","Source_Only"
"251104_버라","Pending_Ingest","251104_버라이어티 2차_ori","Source_Only"
"251106_은밀","Pending_Ingest","251106_은밀한감사_ds11_ori","Source_Only"
"251111_언더","Pending_Ingest","251111_언더커버미스홍_ds11_ori","Source_Only"
"251111_언더","Pending_Ingest","251111_언더커버미스홍_ori","Source_Only"
"260224_액션","Pending_Ingest","260224_액션캠5&6비교","Source_Only"
